Aplan_jets,Centrality_all,dEtajj_MaxdEta,dRbb_avg,dRbb_MaxPt,H1_all,Mbb_MindR,NHiggs_30,pT_jet5,class
0.01069314032793045,0.44503650069236755,1.7777677774429321,2.029668092727661,2.027177572250366,0.7286298871040344,59216.5546875,2,26706.6015625,1
0.013110192492604256,0.6377137899398804,2.3533990383148193,2.4311575889587402,0.682998538017273,0.30566173791885376,54348.43359375,2,32441.779296875,1
0.06846769154071808,0.7925541400909424,2.167210578918457,1.916560173034668,0.8104522228240967,0.19126679003238678,141325.84375,2,33264.70703125,1
0.03886060789227486,0.39738771319389343,4.328545570373535,2.0162410736083984,1.5602461099624634,0.14192095398902893,54902.84765625,3,35694.9609375,1
0.14848385751247406,0.7748826742172241,1.5170583724975586,1.9263904094696045,0.6332282423973083,0.16269217431545258,104530.4609375,3,34327.80859375,1
0.02183019183576107,0.6996155381202698,1.72879958152771,1.9227153062820435,1.9640088081359863,0.4351491630077362,64215.8359375,0,30943.583984375,1
0.02302554063498974,0.7334580421447754,2.193089485168457,2.5646743774414062,0.581967830657959,0.0038474351167678833,138050.453125,2,25210.927734375,1
0.052771419286727905,0.6710262298583984,0.9251614212989807,2.015406370162964,0.5283988118171692,0.5312578678131104,113554.59375,2,67020.75,1
0.12937307357788086,0.7192716002464294,2.3034939765930176,2.3956801891326904,1.1808091402053833,0.10134257376194,115852.0,2,52565.828125,1
0.010497077368199825,0.42049098014831543,4.455330848693848,2.3026885986328125,0.7970529198646545,0.15970668196678162,122077.9140625,2,27475.060546875,1
0.312288761138916,0.8128328323364258,1.9183385372161865,1.9794082641601562,0.7346692085266113,0.060019806027412415,36718.20703125,0,26950.5546875,1
0.09779807925224304,0.7396736741065979,1.826598882675171,1.4980603456497192,0.8674993515014648,0.11580128967761993,94898.375,2,31592.376953125,1
0.01149051170796156,0.6103824973106384,2.403017997741699,2.578592300415039,1.1415151357650757,0.2015695869922638,110122.953125,2,34719.32421875,1
0.03765874356031418,0.9426578283309937,1.090433120727539,2.049222230911255,0.6673550605773926,0.03282131254673004,53129.37109375,2,41373.578125,1
0.11106730997562408,0.8771828413009644,2.011458396911621,2.183997392654419,1.6824686527252197,0.005798034835606813,39060.99609375,3,28721.400390625,1
0.05807279795408249,0.5722890496253967,2.041638135910034,2.262970447540283,1.3413949012756348,0.2599741220474243,75560.1328125,0,30049.5625,1
0.039971888065338135,0.7034357190132141,1.6360777616500854,1.9205423593521118,0.9595040082931519,0.34229034185409546,88063.609375,1,52550.23828125,1
0.0633246973156929,0.5647116303443909,1.954964280128479,2.1174652576446533,0.6993666291236877,0.5908949971199036,119399.7265625,1,34526.6328125,1
0.10887053608894348,0.6101571321487427,1.7022809982299805,2.168520212173462,1.189915657043457,0.46663129329681396,134315.015625,3,30268.97265625,1
0.09776055812835693,0.7913990020751953,2.222489833831787,2.34531831741333,0.6655995845794678,0.11317671090364456,120607.046875,1,29463.962890625,1
0.11074888706207275,0.7929442524909973,1.5247198343276978,1.8844619989395142,1.1075334548950195,0.06672830134630203,76013.1953125,2,41394.22265625,1
