Aplan_jets,Centrality_all,dEtajj_MaxdEta,dRbb_avg,dRbb_MaxPt,H1_all,Mbb_MindR,NHiggs_30,pT_jet5,class
-0.945055016602,-0.414431937198,-0.341732818283,-0.142120989296,-0.13884344526,0.577158826251,-0.673225966123,-0.428571428571,-0.970736582664,1
-0.931839031393,0.102072927332,-0.0809777648272,0.169597468777,-0.847238117774,-0.338724440854,-0.710050350347,-0.428571428571,-0.872300120533,1
-0.629154670934,0.517149319525,-0.165319226077,-0.229938545305,-0.780068857571,-0.586432025486,-0.0521189824159,-0.428571428571,-0.858175694314,1
-0.791040618336,-0.542162769555,0.813743343213,-0.152545794267,-0.384920606033,-0.693284103167,-0.705856544141,-0.142857142857,-0.816463718209,1
-0.191641372105,0.469777892811,-0.459831503056,-0.222306300445,-0.873467519787,-0.648306690161,-0.330453742026,-0.142857142857,-0.839929013645,1
-0.884159720193,0.268011290815,-0.363914908471,-0.225159668988,-0.172133962988,-0.0583360329614,-0.635409434847,-1.0,-0.89801458885,1
-0.877623778486,0.358731987711,-0.153596347141,0.273260572852,-0.900482226655,-0.992264595691,-0.0768953264177,-0.428571428571,-0.996407773159,1
-0.714978926193,0.191372695532,-0.727954747294,-0.153193862208,-0.928713590626,0.149775038106,-0.262191649202,-0.428571428571,-0.278799500706,1
-0.296135533015,0.320702771712,-0.10358424561,0.142052637657,-0.584887367219,-0.781151380001,-0.244813163983,-0.428571428571,-0.526898415101,1
-0.946127051875,-0.48023045872,0.871175773091,0.0698535005028,-0.787130413056,-0.654771390852,-0.197717899266,-0.428571428571,-0.957547037855,1
0.704012935743,0.571509868358,-0.278055706787,-0.181142972215,-0.820007200774,-0.870630532489,-0.843412323972,-1.0,-0.966549461765,1
-0.468781644712,0.375394066344,-0.319612828768,-0.554863909782,-0.750004497834,-0.749842885504,-0.403314631601,-0.428571428571,-0.886878947121,1
-0.940695140337,0.0288066609648,-0.0585008854476,0.284066518038,-0.60559566775,-0.564122640351,-0.288149929709,-0.428571428571,-0.833209184761,1
